Major 1,Major 2,Minor 1,Minor 2,Concentration 1,Concentration 2,Concentration 3,P1_TRACK_1,P1_TRACK_2,Class Description
DDSC,DECO,,,,,,TDMG,,Junior
DDSC,DFFS,,,,,,TDMT,,Junior
DDSC,,DENT,,,,,TDMG,,Junior
DDSC,DMTH,,,,,,TDMG,,Senior
DMTH,DDSC,DCSC,,,,,TDEC,,Senior
DIMD,DDSC,,,,,,TGPG,TDGD,Junior
DCSC,DDSC,,,,,,TDCS,,Sophomore
DCSC,DDSC,,,,,,TDEC,,Senior
DDSC,,,,,,,TDEC,,Junior
DDSC,,,,DBDA,,,TDMG,,Junior
DDSC,,,,,,,TDPH,,Junior
DDSC,,,,,,,TDEC,,Sophomore
DCSC,DDSC,,,,,,TDCS,,Junior
DDSC,,,,,,,TDPS,,Sophomore
DDSC,,DAFM,,,,,TDEC,,Senior
DDSC,,,,,,,TDMT,,Senior
DDSC,,,,,,,TDPS,,Junior
DDSC,,DCSC,,,,,TDBI,,Sophomore
DMTH,DDSC,,,,,,TDMT,,Junior
DES,DDSC,,,,,,TESS,TDGO,Senior
DDSC,,,,,,,TDMG,,Senior
DDSC,DIMD,,,,,,TDCS,TGPD,Sophomore
DGEO,DDSC,,,,,,TDGO,,Junior
DDSC,DCSC,,,,,,TDEC,,Junior
DDSC,,,,,,,TDMT,,Junior
DDSC,,DECO,DART,,,,TDEC,,Senior
DDSC,,,,DBDA,,,TDMG,,Sophomore
DDSC,,DSCR,,,,,TDCS,,Senior
DCSC,DDSC,,,,,,TDCS,,Junior
DMUS,DDSC,,,,,,TMTE,TDMT,Junior
DDSC,,,,,,,TDEC,,Junior
DDSC,,,,,,,DMTH,,Junior
DIMD,DDSC,,,,,,TGPG,TDGD,Junior
DDSC,,,,DBDA,,,TDMG,,Senior
DDSC,DMTH,,,,,,TDCS,,Junior
DDSC,DMTH,,,,,,TDEC,,Sophomore
DDSC,,,,,,,TDCS,,First Year
DDSC,,DCSC,DBIO,,,,TDBI,,Junior
